adc6,Time_s,ch1,ch2
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
1219.0,7.166,0.0,0.0
1220.0,7.167,0.0,0.0
1220.0,7.167,0.0,0.0
1220.0,7.167,0.0,0.0
1220.0,7.167,0.0,0.0
1220.0,7.167,0.0,0.0
1220.0,7.167,0.0,0.0
1220.0,7.167,0.0,0.0
1220.0,7.167,0.0,0.0
1220.0,7.167,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1224.0,7.168,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1223.0,7.169,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1220.0,7.17,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1215.0,7.171,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1213.0,7.172,0.0,0.0
1207.0,7.173,0.0,0.0
1207.0,7.173,0.0,0.0
1207.0,7.173,0.0,0.0
1207.0,7.173,0.0,0.0
1207.0,7.173,0.0,0.0
1207.0,7.173,0.0,0.0
1207.0,7.173,0.0,0.0
1207.0,7.173,0.0,0.0
1207.0,7.173,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1202.0,7.174,0.0,0.0
1200.0,7.175,0.0,0.0
1200.0,7.175,0.0,0.0
1200.0,7.175,0.0,0.0
1200.0,7.175,0.0,0.0
1200.0,7.175,0.0,0.0
1200.0,7.175,0.0,0.0
1200.0,7.175,0.0,0.0
1200.0,7.175,0.0,0.0
1200.0,7.175,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1203.0,7.176,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1200.0,7.177,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1207.0,7.178,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1212.0,7.179,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1205.0,7.18,0.0,0.0
1208.0,7.181,0.0,0.0
1208.0,7.181,0.0,0.0
1208.0,7.181,0.0,0.0
1208.0,7.181,0.0,0.0
1208.0,7.181,0.0,0.0
1208.0,7.181,0.0,0.0
1208.0,7.181,0.0,0.0
1208.0,7.181,0.0,0.0
1208.0,7.181,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.182,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.183,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1215.0,7.184,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1224.0,7.185,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1226.0,7.186,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1223.0,7.187,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1221.0,7.188,0.0,0.0
1226.0,7.189,0.0,0.0
1226.0,7.189,0.0,0.0
1226.0,7.189,0.0,0.0
1226.0,7.189,0.0,0.0
1226.0,7.189,0.0,0.0
1226.0,7.189,0.0,0.0
1226.0,7.189,0.0,0.0
1226.0,7.189,0.0,0.0
1226.0,7.189,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1216.0,7.19,0.0,0.0
1213.0,7.191,0.0,0.0
1213.0,7.191,0.0,0.0
1213.0,7.191,0.0,0.0
1213.0,7.191,0.0,0.0
1213.0,7.191,0.0,0.0
1213.0,7.191,0.0,0.0
1213.0,7.191,0.0,0.0
1213.0,7.191,0.0,0.0
1213.0,7.191,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1215.0,7.192,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1206.0,7.193,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1203.0,7.194,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1208.0,7.195,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1211.0,7.196,0.0,0.0
1208.0,7.197,0.0,0.0
1208.0,7.197,0.0,0.0
1208.0,7.197,0.0,0.0
1208.0,7.197,0.0,0.0
1208.0,7.197,0.0,0.0
1208.0,7.197,0.0,0.0
1208.0,7.197,0.0,0.0
1208.0,7.197,0.0,0.0
1208.0,7.197,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1214.0,7.198,0.0,0.0
1208.0,7.199,0.0,0.0
1208.0,7.199,0.0,0.0
1208.0,7.199,0.0,0.0
1208.0,7.199,0.0,0.0
1208.0,7.199,0.0,0.0
1208.0,7.199,0.0,0.0
1208.0,7.199,0.0,0.0
1208.0,7.199,0.0,0.0
1208.0,7.199,0.0,0.0
