timestamp_us,grip_voltage,relative_time_us
102339847,1448,304396
102340218,1525,304767
102340589,1616,305138
102340959,1714,305508
102341330,1817,305879
102341705,1925,306254
102342075,2038,306624
102342446,2150,306995
102342816,2258,307365
102343187,2366,307736
102343558,2464,308107
102343933,2558,308482
102344303,2641,308852
102344673,2709,309222
102345046,2768,309595
102345417,2811,309966
102345787,2836,310336
102346158,2848,310707
102346528,2849,311077
102346903,2831,311452
102347273,2797,311822
102347644,2749,312193
102348015,2692,312564
102348385,2615,312934
102348755,2532,313304
102349128,2439,313677
102349499,2337,314048
102349869,2229,314418
102350244,2118,314793
102350615,2008,315164
102350986,1896,315535
102351356,1788,315905
102351728,1688,316277
102352099,1591,316648
102352470,1504,317019
102352840,1428,317389
102353211,1366,317760
102353581,1314,318130
102353952,1281,318501
102354323,1262,318872
102354695,1257,319244
102355066,1269,319615
102355437,1296,319986
102355807,1339,320356
102356178,1391,320727
102356548,1456,321097
102356923,1536,321472
102357293,1625,321842
102357663,1723,322212
102358038,1829,322587
102358408,1941,322957
102358779,2049,323328
102359150,2159,323699
102359520,2269,324069
102359895,2380,324444
102360265,2474,324814
102360636,2567,325185
102361007,2647,325556
102361377,2715,325926
102361747,2769,326296
102362118,2814,326667
102362489,2840,327038
102362859,2852,327408
102363234,2851,327783
102363605,2829,328154
102363975,2796,328524
102364346,2744,328895
102364719,2684,329268
102365090,2606,329639
102365460,2521,330009
102365830,2427,330379
102366201,2322,330750
102366572,2218,331121
102366942,2107,331491
102367313,1995,331862
102367685,1884,332234
102368056,1776,332605
102368427,1677,332976
102368797,1582,333346
102369168,1498,333717
102369538,1422,334087
102369913,1360,334462
102370283,1311,334832
102370654,1276,335203
102371024,1258,335573
102371395,1255,335944
102371765,1268,336314
102372136,1293,336685
102372507,1337,337056
102372882,1392,337431
102373252,1459,337801
102373622,1544,338171
102373993,1633,338542
102374364,1733,338913
102374738,1840,339287
102375109,1952,339658
102375480,2064,340029
102375850,2177,340399
102376225,2285,340774
102376596,2390,341145
102376966,2484,341515
102377337,2571,341886
102377710,2653,342259
102378081,2721,342630
102378451,2776,343000
102378821,2817,343370
102379192,2840,343741
102379563,2851,344112
102379937,2847,344486
102380307,2827,344856
102380678,2790,345227
102381053,2740,345602
102381424,2678,345973
102381794,2601,346343
102382165,2515,346714
102382535,2421,347084
102382910,2313,347459
102383280,2208,347829
102383650,2097,348199
102384021,1983,348570
102384391,1877,348940
102384761,1768,349310
102385132,1663,349681
102385502,1572,350051
102385873,1486,350422
102386248,1412,350797
102386618,1355,351167
102386989,1306,351538
102387359,1273,351908
102387736,1256,352285
102388106,1253,352655
102388477,1269,353026
102388847,1297,353396
102389218,1341,353767
102389589,1401,354138
102389959,1471,354508
102390330,1555,354879
102390705,1644,355254
102391075,1745,355624
102391446,1852,355995
102391816,1964,356365
102392187,2072,356736
102392558,2184,357107
102392933,2292,357482
102393303,2395,357852
102393673,2494,358222
102394046,2580,358595
102394417,2659,358966
102394787,2727,359336
102395158,2783,359707
102395528,2825,360077
102395903,2851,360452
102396273,2856,360822
102396644,2845,361193
102397015,2824,361564
102397385,2787,361934
102397755,2734,362304
102398128,2669,362677
102398499,2589,363048
102398869,2505,363418
102399244,2410,363793
102399615,2303,364164
102399986,2194,364535
102400356,2087,364905
102400728,1974,365277
102401099,1866,365648
102401470,1756,366019
102401840,1658,366389
102402211,1565,366760
102402581,1480,367130
102402952,1406,367501
102403323,1350,367872
102403695,1301,368244
102404066,1271,368615
102404437,1256,368986
102404807,1255,369356
102405178,1271,369727
102405548,1300,370097
102405923,1346,370472
102406293,1406,370842
102406663,1478,371212
102407038,1560,371587
102407408,1653,371957
102407779,1753,372328
102408150,1863,372699
102408520,1970,373069
102408895,2083,373444
102409265,2195,373814
102409636,2301,374185
102410007,2406,374556
102410377,2503,374926
102410747,2589,375296
102411118,2668,375667
102411489,2735,376038
102411859,2786,376408
102412234,2821,376783
102412605,2845,377154
102412975,2854,377524
102413346,2844,377895
102413719,2819,378268
102414090,2783,378639
102414460,2730,379009
102414830,2663,379379
102415201,2589,379750
