Time_s,ADC6,CH0
101.136,1201,
101.137,1212,
101.138,1216,
101.139,1224,
101.14,1232,
101.141,1240,
101.142,1244,
101.143,1247,
101.144,1247,
101.145,1247,
101.146,1248,
101.147,1241,
101.148,1240,
101.149,1231,
101.15,1218,
101.151,1211,
101.152,1201,
101.153,1199,
101.154,1208,
101.155,1208,
101.156,1215,
101.157,1216,
101.158,1223,
101.159,1235,
101.16,1239,
101.161,1247,
101.162,1247,
101.163,1249,
101.164,1255,
101.165,1251,
101.166,1249,
101.167,1248,
101.168,1239,
101.169,1234,
101.17,1223,
101.171,1215,
101.172,1214,
101.173,1201,
101.174,1199,
101.175,1204,
101.176,1199,
101.177,1214,
101.178,1216,
101.179,1220,
101.18,1219,
101.181,1230,
101.182,1232,
101.183,1232,
101.184,1228,
101.185,1231,
101.186,1232,
101.187,1224,
101.188,1228,
101.189,1215,
101.19,1203,
101.191,1200,
101.192,1192,
101.193,1194,
101.194,1195,
101.195,1200,
101.196,1208,
101.197,1216,
101.198,1220,
101.199,1228,
101.2,1231,
101.201,1238,
101.202,1235,
101.203,1239,
101.204,1240,
101.205,1238,
101.206,1236,
101.207,1236,
101.208,1231,
101.209,1224,
101.21,1211,
101.211,1207,
101.212,1200,
101.213,1200,
101.214,1199,
101.215,1200,
101.216,1203,
101.217,1210,
101.218,1221,
101.219,1231,
101.22,1240,
101.221,1246,
101.222,1247,
101.223,1248,
101.224,1248,
101.225,1248,
101.226,1248,
101.227,1243,
101.228,1233,
101.229,1224,
101.23,1215,
101.231,1200,
101.232,1188,
101.233,1186,
101.234,1183,
101.235,1192,
101.236,1198,
101.237,1206,
101.238,1215,
101.239,1224,
101.24,1225,
101.241,1232,
101.242,1233,
101.243,1240,
101.244,1235,
101.245,1232,
101.246,1232,
101.247,1229,
101.248,1224,
101.249,1215,
101.25,1212,
101.251,1203,
101.252,1199,
101.253,1200,
101.254,1199,
101.255,1200,
101.256,1204,
101.257,1214,
101.258,1223,
101.259,1227,
101.26,1240,
101.261,1248,
101.262,1252,
101.263,1251,
101.264,1254,
101.265,1248,
101.266,1248,
101.267,1243,
101.268,1233,
101.269,1231,
101.27,1220,
101.271,1212,
101.272,1203,
101.273,1200,
101.274,1206,
101.275,1208,
101.276,1209,
101.277,1223,
101.278,1227,
101.279,1231,
101.28,1240,
101.281,1236,
101.282,1239,
101.283,1240,
101.284,1244,
101.285,1240,
101.286,1243,
101.287,1239,
101.288,1232,
101.289,1231,
101.29,1219,
101.291,1211,
101.292,1199,
101.293,1192,
101.294,1192,
101.295,1190,
101.296,1200,
101.297,1199,
101.298,1202,
101.299,1208,
101.3,1215,
101.301,1224,
101.302,1224,
101.303,1224,
101.304,1227,
101.305,1231,
101.306,1232,
101.307,1232,
101.308,1231,
101.309,1220,
101.31,1211,
101.311,1206,
101.312,1190,
101.313,1191,
101.314,1183,
101.315,1191,
101.316,1191,
101.317,1200,
101.318,1203,
101.319,1214,
101.32,1219,
101.321,1220,
101.322,1227,
101.323,1226,
101.324,1223,
101.325,1224,
101.326,1219,
101.327,1217,
101.328,1209,
101.329,1210,
101.33,1198,
101.331,1191,
101.332,1183,
101.333,1179,
101.334,1183,
101.335,1183,
101.336,1186,
101.337,1199,
101.338,1204,
101.339,1215,
101.34,1230,
101.341,1232,
101.342,1234,
101.343,1242,
101.344,1240,
101.345,1239,
101.346,1232,
101.347,1232,
101.348,1223,
101.349,1216,
101.35,1208,
101.351,1199,
101.352,1195,
101.353,1187,
101.354,1195,
101.355,1196,
101.356,1200,
101.357,1208,
101.358,1215,
101.359,1219,
101.36,1224,
101.361,1228,
101.362,1224,
101.363,1229,
101.364,1231,
101.365,1231,
101.366,1224,
101.367,1220,
101.368,1215,
101.369,1207,
101.37,1195,
101.371,1180,
101.372,1175,
101.373,1169,
101.374,1167,
101.375,1171,
101.376,1182,
101.377,1185,
101.378,1192,
101.379,1201,
101.38,1212,
101.381,1218,
101.382,1220,
101.383,1232,
101.384,1227,
101.385,1231,
101.386,1227,
101.387,1228,
101.388,1217,
101.389,1212,
101.39,1200,
101.391,1191,
101.392,1179,
101.393,1180,
101.394,1175,
101.395,1179,
101.396,1184,
101.397,1189,
101.398,1199,
101.399,1212,
101.4,1220,
101.401,1223,
101.402,1231,
101.403,1236,
101.404,1234,
101.405,1235,
101.406,1239,
101.407,1231,
101.408,1228,
101.409,1220,
101.41,1215,
101.411,1208,
101.412,1200,
101.413,1195,
101.414,1194,
101.415,1192,
101.416,1200,
101.417,1208,
101.418,1216,
101.419,1216,
101.42,1230,
101.421,1228,
101.422,1232,
101.423,1235,
101.424,1239,
101.425,1246,
101.426,1244,
101.427,1239,
101.428,1231,
101.429,1224,
101.43,1215,
101.431,1208,
101.432,1200,
101.433,1198,
101.434,1192,
101.435,1199,
101.436,1207,
101.437,1212,
101.438,1216,
101.439,1220,
101.44,1231,
101.441,1232,
101.442,1239,
101.443,1239,
101.444,1235,
101.445,1231,
101.446,1231,
101.447,1223,
101.448,1223,
101.449,1208,
101.45,1200,
101.451,1191,
101.452,1183,
101.453,1187,
101.454,1184,
101.455,1188,
101.456,1200,
101.457,1203,
101.458,1207,
101.459,1215,
101.46,1220,
101.461,1228,
101.462,1229,
101.463,1236,
101.464,1238,
