timestamp_us,grip_voltage,relative_time_us
126572758,2109,257623
126573129,2104,257994
126573500,2097,258365
126573870,2091,258735
126574245,2082,259110
126574616,2076,259481
126574987,2067,259852
126575357,2059,260222
126575732,2052,260597
126576103,2043,260968
126576473,2035,261338
126576843,2027,261708
126577214,2019,262079
126577585,2012,262450
126577955,2006,262820
126578326,2000,263191
126578699,1994,263564
126579070,1989,263935
126579440,1986,264305
126579810,1984,264675
126580181,1982,265046
126580552,1982,265417
126580926,1981,265791
126581297,1982,266162
126581667,1986,266532
126582043,1986,266908
126582414,1991,267279
126582784,1996,267649
126583155,2002,268020
126583525,2006,268390
126583900,2015,268765
126584270,2022,269135
126584640,2029,269505
126585011,2038,269876
126585381,2046,270246
126585752,2055,270617
126586123,2063,270988
126586493,2071,271358
126586863,2079,271728
126587238,2088,272103
126587608,2093,272473
126587979,2101,272844
126588349,2106,273214
126588724,2112,273589
126589095,2116,273960
126589465,2120,274330
126589836,2124,274701
126590207,2124,275072
126590577,2124,275442
126590948,2124,275813
126591318,2123,276183
126591690,2120,276555
126592061,2117,276926
126592432,2114,277297
126592802,2109,277667
126593173,2104,278038
126593543,2096,278408
126593918,2090,278783
126594288,2083,279153
126594658,2075,279523
126595030,2066,279895
126595400,2059,280265
126595771,2050,280636
126596141,2042,281006
126596512,2035,281377
126596886,2026,281751
126597256,2019,282121
126597627,2012,282492
126597997,2005,282862
126598368,1999,283233
126598742,1994,283607
126599112,1990,283977
126599483,1986,284348
126599853,1984,284718
126600224,1982,285089
126600594,1979,285459
126600965,1982,285830
126601336,1983,286201
126601709,1984,286574
126602079,1988,286944
126602450,1992,287315
126602820,1996,287685
126603191,2002,288056
126603561,2009,288426
126603936,2015,288801
126604307,2023,289172
126604677,2030,289542
126605050,2038,289915
126605421,2047,290286
126605791,2056,290656
126606162,2064,291027
126606533,2073,291398
126606908,2080,291773
126607278,2088,292143
126607649,2096,292514
126608020,2101,292885
126608390,2107,293255
126608761,2112,293626
126609135,2116,294000
126609505,2120,294370
126609876,2122,294741
126610251,2124,295116
126610622,2126,295487
126610992,2124,295857
126611363,2122,296228
126611736,2120,296601
126612107,2117,296972
126612477,2112,297342
126612848,2108,297713
126613219,2102,298084
126613589,2096,298454
126613960,2090,298825
126614330,2079,299195
126614705,2075,299570
126615076,2066,299941
126615446,2058,300311
126615816,2050,300681
126616187,2041,301052
126616558,2033,301423
126616933,2026,301798
126617303,2017,302168
126617674,2011,302539
126618049,2004,302914
126618419,1997,303284
126618790,1993,303655
126619161,1989,304026
126619531,1987,304396
126619906,1983,304771
126620276,1982,305141
126620647,1981,305512
126621017,1981,305882
126621388,1982,306253
126621758,1985,306623
126622129,1988,306994
126622500,1992,307365
126622870,1998,307735
126623245,2003,308110
126623616,2009,308481
126623987,2016,308852
126624357,2024,309222
126624732,2032,309597
126625103,2040,309968
126625473,2048,310338
126625843,2057,310708
126626214,2066,311079
126626585,2073,311450
126626955,2081,311820
126627326,2088,312191
126627699,2096,312564
126628070,2102,312935
126628440,2108,313305
126628810,2112,313675
126629181,2117,314046
126629552,2119,314417
126629926,2122,314791
126630297,2124,315162
126630667,2124,315532
126631043,2123,315908
126631414,2124,316279
126631784,2120,316649
126632155,2116,317020
126632525,2111,317390
126632900,2107,317765
126633270,2101,318135
126633640,2095,318505
126634011,2088,318876
126634381,2081,319246
126634752,2072,319617
126635123,2064,319988
126635493,2056,320358
126635863,2048,320728
126636238,2040,321103
126636608,2032,321473
126636979,2024,321844
126637349,2016,322214
126637724,2010,322589
126638095,2004,322960
126638465,1998,323330
126638836,1993,323701
126639207,1989,324072
126639577,1986,324442
126639948,1983,324813
126640318,1982,325183
126640690,1981,325555
126641061,1982,325926
126641432,1984,326297
126641802,1986,326667
126642173,1989,327038
126642543,1993,327408
126642918,1998,327783
126643288,2004,328153
126643658,2010,328523
126644030,2018,328895
126644400,2026,329265
126644771,2034,329636
126645141,2041,330006
126645512,2049,330377
126645886,2058,330751
126646256,2066,331121
126646627,2074,331492
126646997,2082,331862
126647368,2089,332233
126647742,2096,332607
126648112,2103,332977
126648483,2108,333348
126648853,2113,333718
126649224,2118,334089
126649594,2121,334459
126649965,2123,334830
126650336,2124,335201
126650709,2124,335574
126651079,2124,335944
126651450,2122,336315
126651820,2120,336685
126652191,2116,337056
126652561,2112,337426
126652936,2106,337801
126653307,2101,338172
126653677,2094,338542
126654050,2087,338915
126654421,2079,339286
126654791,2072,339656
126655162,2064,340027
126655533,2057,340398
126655908,2048,340773
126656278,2039,341143
126656649,2032,341514
126657020,2023,341885
126657390,2017,342255
126657761,2009,342626
126658135,2003,343000
126658505,1997,343370
126658876,1992,343741
126659251,1988,344116
126659622,1984,344487
126659992,1983,344857
126660363,1981,345228
126660736,1980,345601
126661107,1981,345972
126661477,1984,346342
126661848,1986,346713
126662219,1989,347084
126662589,1993,347454
126662960,1998,347825
126663330,2004,348195
126663705,2011,348570
126664076,2018,348941
126664446,2026,349311
126664816,2034,349681
126665187,2042,350052
126665558,2051,350423
126665933,2060,350798
126666303,2068,351168
126666674,2076,351539
126667049,2084,351914
126667419,2089,352284
126667790,2097,352655
126668161,2103,353026
126668531,2110,353396
126668906,2114,353771
126669276,2118,354141
126669647,2121,354512
126670017,2124,354882
126670388,2125,355253
126670758,2124,355623
126671129,2123,355994
126671500,2122,356365
126671870,2119,356735
126672245,2116,357110
126672616,2111,357481
126672987,2106,357852
126673357,2100,358222
126673732,2094,358597
126674103,2087,358968
126674473,2082,359338
126674843,2071,359708
126675214,2066,360079
126675585,2055,360450
126675955,2046,360820
126676326,2038,361191
126676699,2030,361564
126677070,2022,361935
126677440,2016,362305
126677810,2008,362675
126678181,2002,363046
126678552,1998,363417
126678926,1992,363791
126679297,1988,364162
126679667,1985,364532
126680043,1983,364908
126680414,1981,365279
126680784,1981,365649
126681155,1982,366020
126681525,1982,366390
126681900,1986,366765
126682270,1990,367135
126682640,1994,367505
126683011,1999,367876
126683381,2006,368246
126683752,2012,368617
126684123,2019,368988
126684493,2026,369358
126684863,2034,369728
126685238,2043,370103
126685608,2052,370473
126685979,2060,370844
126686349,2068,371214
126686724,2076,371589
126687095,2084,371960
126687465,2091,372330
126687836,2099,372701
126688207,2104,373072
126688577,2110,373442
126688948,2114,373813
126689318,2118,374183
126689690,2121,374555
126690061,2123,374926
126690432,2123,375297
126690802,2124,375667
126691173,2124,376038
126691543,2121,376408
126691918,2119,376783
126692288,2115,377153
126692658,2110,377523
126693030,2106,377895
126693400,2099,378265
126693771,2093,378636
126694141,2086,379006
126694512,2078,379377
126694886,2070,379751
126695256,2062,380121
126695627,2054,380492
126695997,2046,380862
126696368,2038,381233
126696742,2030,381607
126697112,2022,381977
126697483,2013,382348
126697853,2008,382718
126698224,2002,383089
126698594,1995,383459
126698965,1991,383830
126699336,1987,384201
126699709,1985,384574
126700079,1982,384944
126700450,1981,385315
126700820,1981,385685
126701191,1982,386056
126701561,1984,386426
126701936,1986,386801
126702307,1990,387172
126702677,1995,387542
126703050,2000,387915
126703421,2005,388286
126703791,2012,388656
126704162,2020,389027
126704533,2028,389398
126704908,2035,389773
126705278,2044,390143
126705649,2052,390514
126706020,2061,390885
126706390,2069,391255
126706761,2077,391626
126707135,2085,392000
126707505,2092,392370
126707876,2098,392741
126708251,2105,393116
126708622,2110,393487
126708992,2115,393857
126709363,2117,394228
126709736,2121,394601
126710107,2124,394972
126710477,2124,395342
126710848,2124,395713
126711219,2123,396084
126711589,2121,396454
126711960,2118,396825
126712330,2114,397195
126712705,2110,397570
