time_s,ch0
0.753,-1.618033988749903
0.754,-1.9021130325903037
0.755,-2.0
0.756,-1.9021130325903084
0.757,-1.6180339887498787
0.758,-1.175570504584944
0.759,-0.6180339887498618
0.76,9.80707808336424e-15
0.761,0.6180339887498805
0.762,1.1755705045849598
0.763,1.61803398874989
0.764,1.9021130325903146
0.765,2.0
0.766,1.9021130325902975
0.767,1.6180339887498913
0.768,1.1755705045849154
0.769,0.6180339887498824
0.77,1.1754133349268238e-14
0.771,-0.6180339887499141
0.772,-1.1755705045849425
0.773,-1.618033988749911
0.774,-1.902113032590308
0.775,-2.0
0.776,-1.9021130325903042
0.777,-1.6180339887498705
0.778,-1.175570504584933
0.779,-0.6180339887499029
0.78,2.3528074078907303e-14
0.781,0.6180339887498936
0.782,1.175570504584971
0.783,1.6180339887498982
0.784,1.9021130325903188
0.785,2.0
0.786,1.9021130325902933
0.787,1.6180339887498831
0.788,1.1755705045849043
0.789,0.6180339887498693
0.79,-1.9668626462748253e-15
0.791,-0.6180339887499271
0.792,-1.1755705045849536
0.793,-1.6180339887499189
0.794,-1.9021130325903122
0.795,-2.0
0.796,-1.9021130325903
0.797,-1.6180339887498625
0.798,-1.1755705045849218
0.799,-0.6180339887498898
0.8,3.7249070074450366e-14
0.801,0.6180339887499066
0.802,1.175570504584982
0.803,1.6180339887499062
0.804,1.902113032590323
0.805,2.0
0.806,1.902113032590289
0.807,1.6180339887498751
0.808,1.1755705045849392
0.809,0.6180339887498563
0.81,-1.5687858641817887e-14
0.811,-0.6180339887499402
0.812,-1.1755705045849647
0.8130000000000001,-1.618033988749927
0.8140000000000001,-1.9021130325903164
0.8150000000000001,-2.0
0.8160000000000001,-1.9021130325902957
0.8170000000000001,-1.6180339887498878
0.8180000000000001,-1.1755705045849567
0.8190000000000001,-0.6180339887498227
0.8200000000000001,5.097006606999343e-14
0.8210000000000001,0.6180339887499197
0.8220000000000001,1.1755705045849472
0.8230000000000001,1.6180339887499477
0.8240000000000001,1.9021130325903273
0.8250000000000001,2.0
0.8260000000000001,1.9021130325903024
0.8270000000000001,1.6180339887499005
0.8280000000000001,1.175570504584882
0.8290000000000001,0.6180339887498432
0.8300000000000001,-2.9408854637360953e-14
0.8310000000000001,-0.6180339887498991
0.8320000000000001,-1.1755705045850218
0.833,-1.6180339887498683
0.834,-1.9021130325902855
0.835,-2.0
0.836,-1.902113032590309
0.837,-1.618033988749913
0.838,-1.1755705045849916
0.839,-0.6180339887498637
0.84,7.847643204728474e-15
0.841,0.6180339887498786
0.842,1.1755705045849123
0.843,1.6180339887498556
0.844,1.902113032590314
0.845,2.0
0.846,1.9021130325903157
0.847,1.6180339887499258
0.848,1.175570504584917
0.849,0.6180339887498842
0.85,1.3713568227904002e-14
0.851,-0.6180339887498582
0.852,-1.175570504584895
0.853,-1.6180339887499098
0.854,-1.9021130325903073
0.855,-2.0
0.856,-1.9021130325903224
0.857,-1.6180339887498716
0.858,-1.1755705045849345
0.859,-0.6180339887499047
0.86,-3.527477966053648e-14
0.861,0.6180339887498376
0.862,1.1755705045849694
0.863,1.6180339887498971
0.864,1.9021130325903006
0.865,2.0
0.866,1.902113032590294
0.867,1.6180339887498845
0.868,1.175570504584952
0.869,0.6180339887499252
0.87,-5.685084662844708e-14
0.871,-0.6180339887499252
0.872,-1.175570504584952
0.873,-1.6180339887498845
0.874,-1.902113032590294
0.875,-2.0
0.876,-1.9021130325903006
0.877,-1.6180339887498971
0.878,-1.1755705045849694
0.879,-0.6180339887498376
0.88,3.52896351958146e-14
0.881,0.6180339887499048
0.882,1.1755705045849345
0.883,1.6180339887498716
0.884,1.9021130325903224
0.885,2.0
0.886,1.9021130325903073
0.887,1.6180339887499098
0.888,1.175570504584895
0.889,0.6180339887498582
0.89,-1.3728423763182123e-14
0.891,-0.6180339887498842
0.892,-1.1755705045849172
0.893,-1.6180339887499258
0.894,-1.9021130325903157
0.895,-2.0
0.896,-1.902113032590314
0.897,-1.6180339887498556
0.898,-1.1755705045849123
0.899,-0.6180339887498786
0.9,-7.832787669450353e-15
0.901,0.6180339887498637
0.902,1.1755705045849916
0.903,1.618033988749913
0.904,1.902113032590309
0.905,2.0
0.906,1.9021130325902855
0.907,1.6180339887498683
0.908,1.1755705045849298
0.909,0.6180339887498991
0.91,2.939399910208283e-14
0.911,-0.6180339887499513
0.912,-1.1755705045849743
0.913,-1.6180339887499005
0.914,-1.9021130325903024
0.915,-2.0
0.916,-1.9021130325902922
0.917,-1.618033988749881
0.918,-1.1755705045849472
0.919,-0.6180339887499197
0.92,6.273162718690073e-14
0.921,0.6180339887499309
0.922,1.1755705045849567
0.923,1.6180339887498878
0.924,1.9021130325903308
0.925,2.0
0.926,1.9021130325902988
0.927,1.6180339887498936
0.928,1.1755705045849647
0.929,0.6180339887498321
0.93,-4.117041575426825e-14
0.931,-0.6180339887499103
0.932,-1.1755705045849394
0.933,-1.618033988749942
0.934,-1.9021130325903242
0.935,-2.0
0.936,-1.9021130325903055
0.937,-1.6180339887498394
0.9380000000000001,-1.17557050458489
0.9390000000000001,-0.6180339887498525
0.9400000000000001,1.9609204321635772e-14
0.9410000000000001,0.6180339887498898
0.9420000000000001,1.1755705045850138
0.9430000000000001,1.6180339887499293
0.9440000000000001,1.9021130325903175
0.9450000000000001,2.0
0.9460000000000001,1.902113032590277
0.9470000000000001,1.618033988749852
0.9480000000000001,1.1755705045849076
0.9490000000000001,0.618033988749873
0.9500000000000001,1.952007110996705e-15
0.9510000000000001,-0.6180339887499774
0.9520000000000001,-1.1755705045849965
0.9530000000000001,-1.6180339887499167
0.9540000000000001,-1.9021130325903108
0.9550000000000001,-2.0
0.9560000000000001,-1.9021130325902837
0.9570000000000001,-1.6180339887498647
0.9580000000000001,-1.175570504584925
0.9590000000000001,-0.6180339887498936
0.96,-2.351321854362918e-14
